timestamp,open,high,low,close,volume,candle_range
2022-12-18 06:01:00,11319.25,11319.25,11319.25,11319.25,1,0.0
2022-12-25 15:33:00,11066.25,11066.25,11066.25,11066.25,2,0.0
2022-12-25 19:16:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2022-12-26 02:58:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2022-12-26 05:16:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2022-12-26 05:42:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2022-12-26 14:27:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2022-12-26 16:22:00,11066.25,11066.25,11066.25,11066.25,2,0.0
2022-12-26 16:29:00,11066.25,11066.25,11066.25,11066.25,2,0.0
2022-12-26 18:41:00,11066.25,11066.25,11066.25,11066.25,1,0.0
2023-01-01 12:13:00,11040.75,11040.75,11040.75,11040.75,2,0.0
2023-01-02 02:14:00,11040.75,11040.75,11040.75,11040.75,2,0.0
2023-01-08 05:26:00,11107.75,11107.75,11107.75,11107.75,2,0.0
2023-01-08 06:47:00,11107.75,11107.75,11107.75,11107.75,1,0.0
2023-02-05 14:55:00,12616.75,12616.75,12616.75,12616.75,2,0.0
2023-02-05 18:25:00,12616.75,12616.75,12616.75,12616.75,1,0.0
2023-02-12 21:44:00,12336.75,12336.75,12336.75,12336.75,2,0.0
2023-02-20 18:15:00,12366.75,12366.75,12366.75,12366.75,2,0.0
2023-02-20 18:24:00,12366.75,12366.75,12366.75,12366.75,2,0.0
2023-03-04 03:16:00,12326.5,12326.5,12326.5,12326.5,4,0.0
2023-03-04 04:16:00,12326.5,12326.5,12326.5,12326.5,4,0.0
2023-03-04 20:58:00,12326.5,12326.5,12326.5,12326.5,2,0.0
2023-03-05 05:56:00,12326.5,12326.5,12326.5,12326.5,4,0.0
2023-03-09 05:10:00,12341.75,12341.75,12341.75,12341.75,1,0.0
2023-03-09 05:12:00,12342.0,12342.0,12342.0,12342.0,4,0.0
